group,id_player,outcome,total_count,stop_count,stop_prob,stop_overall
High-Risk,225,win,2,0,0,9.090909090909092
High-Risk,226,loss,486,19,3.909465020576132,3.0254777070063694
High-Risk,226,win,142,0,0,3.0254777070063694
High-Risk,227,loss,204,2,0.9803921568627451,1.1904761904761905
High-Risk,227,win,48,1,2.083333333333333,1.1904761904761905
High-Risk,228,loss,47,0,0,1.5625
High-Risk,228,win,17,1,5.88235294117647,1.5625
High-Risk,229,loss,32868,294,0.8944870390653524,0.6841399713400822
High-Risk,229,win,10398,2,0.019234468166955183,0.6841399713400822
High-Risk,230,loss,13157,297,2.2573535000380023,1.7213493530499075
High-Risk,230,win,4155,1,0.024067388688327314,1.7213493530499075
High-Risk,231,loss,44759,210,0.4691793829174021,0.3807869597167479
High-Risk,231,win,15117,18,0.11907124429450287,0.3807869597167479
High-Risk,232,loss,13414,215,1.6028030415983303,1.2600630031501576
High-Risk,232,win,3728,1,0.02682403433476395,1.2600630031501576
High-Risk,233,loss,36472,337,0.9239964904584338,0.7071721482969286
High-Risk,233,win,11324,1,0.008830801836806781,0.7071721482969286
High-Risk,234,loss,536,15,2.798507462686567,2.11864406779661
High-Risk,234,win,172,0,0,2.11864406779661
High-Risk,235,loss,449,20,4.4543429844097995,3.5211267605633805
High-Risk,235,win,119,0,0,3.5211267605633805
High-Risk,236,loss,12352,280,2.266839378238342,1.827956989247312
High-Risk,236,win,3458,9,0.26026604973973394,1.827956989247312
High-Risk,237,loss,405,4,0.9876543209876543,0.8016032064128256
High-Risk,237,win,94,0,0,0.8016032064128256
High-Risk,238,loss,3014,30,0.9953550099535502,0.7759958613554061
High-Risk,238,win,852,0,0,0.7759958613554061
High-Risk,239,loss,78632,620,0.7884830603316717,0.6291299014758833
High-Risk,239,win,22460,16,0.07123775601068566,0.6291299014758833
High-Risk,240,loss,212,5,2.358490566037736,1.824817518248175
High-Risk,240,win,62,0,0,1.824817518248175
High-Risk,241,loss,86,2,2.3255813953488373,3
High-Risk,241,win,14,1,7.142857142857142,3
High-Risk,242,loss,243,3,1.2345679012345678,0.964630225080386
High-Risk,242,win,68,0,0,0.964630225080386
High-Risk,243,loss,3386,79,2.3331364441819256,1.8165095424235456
High-Risk,243,win,963,0,0,1.8165095424235456
High-Risk,244,loss,344,5,1.4534883720930232,1.1820330969267139
High-Risk,244,win,79,0,0,1.1820330969267139
High-Risk,245,loss,778,9,1.1568123393316194,1.083743842364532
High-Risk,245,win,237,2,0.8438818565400843,1.083743842364532
High-Risk,246,loss,27256,372,1.364837100088054,1.0608725251035342
High-Risk,246,win,7998,2,0.025006251562890724,1.0608725251035342
High-Risk,247,loss,72,4,5.555555555555555,4.819277108433735
High-Risk,247,win,11,0,0,4.819277108433735
High-Risk,248,loss,231,8,3.463203463203463,2.807017543859649
High-Risk,248,win,54,0,0,2.807017543859649
High-Risk,249,loss,5347,135,2.5247802506078174,1.9282574790869134
High-Risk,249,win,1706,1,0.058616647127784284,1.9282574790869134
High-Risk,250,loss,42433,399,0.9403058939975962,0.749441521942783
High-Risk,250,win,13075,17,0.130019120458891,0.749441521942783
High-Risk,251,loss,1420,31,2.1830985915492955,1.76017601760176
High-Risk,251,win,398,1,0.25125628140703515,1.76017601760176
High-Risk,252,loss,10842,362,3.3388673676443457,2.5151115125408188
High-Risk,252,win,3551,0,0,2.5151115125408188
High-Risk,253,loss,12,1,8.333333333333332,6.25
High-Risk,253,win,4,0,0,6.25
High-Risk,254,loss,3245,37,1.140215716486903,0.9385265133740028
High-Risk,254,win,1017,3,0.2949852507374631,0.9385265133740028
High-Risk,255,loss,122,1,0.819672131147541,0.6060606060606061
High-Risk,255,win,43,0,0,0.6060606060606061
High-Risk,256,loss,208,1,0.4807692307692308,0.33670033670033667
High-Risk,256,win,89,0,0,0.33670033670033667
High-Risk,257,loss,445,6,1.348314606741573,1.2612612612612613
High-Risk,257,win,110,1,0.9090909090909091,1.2612612612612613
High-Risk,258,loss,324,23,7.098765432098765,5.727923627684964
High-Risk,258,win,95,1,1.0526315789473684,5.727923627684964
High-Risk,259,loss,51,3,5.88235294117647,5.454545454545454
High-Risk,259,win,4,0,0,5.454545454545454
High-Risk,260,loss,65,2,3.076923076923077,2.4691358024691357
High-Risk,260,win,16,0,0,2.4691358024691357
High-Risk,261,loss,14,1,7.142857142857142,5.555555555555555
High-Risk,261,win,4,0,0,5.555555555555555
High-Risk,262,loss,1001,9,0.8991008991008992,0.7855459544383346
High-Risk,262,win,272,1,0.3676470588235294,0.7855459544383346
High-Risk,263,loss,90,2,2.2222222222222223,1.8518518518518516
High-Risk,263,win,18,0,0,1.8518518518518516
High-Risk,264,loss,29,4,13.793103448275861,12.121212121212121
High-Risk,264,win,4,0,0,12.121212121212121
High-Risk,265,loss,268,4,1.4925373134328357,1.1235955056179776
High-Risk,265,win,88,0,0,1.1235955056179776
High-Risk,266,loss,9877,38,0.38473220613546627,0.29954280309002046
High-Risk,266,win,2809,0,0,0.29954280309002046
High-Risk,267,loss,1959,33,1.6845329249617151,1.2711864406779663
High-Risk,267,win,637,0,0,1.2711864406779663
High-Risk,268,loss,356,9,2.528089887640449,2.0044543429844097
High-Risk,268,win,93,0,0,2.0044543429844097
High-Risk,269,loss,42,2,4.761904761904762,3.6363636363636362
High-Risk,269,win,13,0,0,3.6363636363636362
High-Risk,270,loss,6078,80,1.3162224415926291,0.9695794449157679
High-Risk,270,win,2173,0,0,0.9695794449157679
High-Risk,271,loss,15839,318,2.007702506471368,1.5089877010406811
High-Risk,271,win,5301,1,0.018864365214110543,1.5089877010406811
High-Risk,272,loss,3246,56,1.7252002464571778,1.361182820934053
High-Risk,272,win,1015,2,0.19704433497536944,1.361182820934053
High-Risk,273,loss,51,1,1.9607843137254901,1.5873015873015872
High-Risk,273,win,12,0,0,1.5873015873015872
High-Risk,274,loss,141,4,2.8368794326241136,2.6881720430107525
High-Risk,274,win,45,1,2.2222222222222223,2.6881720430107525
High-Risk,275,loss,652,3,0.4601226993865031,0.3448275862068966
High-Risk,275,win,218,0,0,0.3448275862068966
High-Risk,276,loss,1624,31,1.9088669950738917,1.5873015873015872
High-Risk,276,win,455,2,0.43956043956043955,1.5873015873015872
High-Risk,277,loss,283,5,1.76678445229682,1.36986301369863
High-Risk,277,win,82,0,0,1.36986301369863
High-Risk,278,loss,1102,30,2.722323049001815,2.109704641350211
High-Risk,278,win,320,0,0,2.109704641350211
High-Risk,279,loss,4,1,25,25
High-Risk,280,loss,56,1,1.7857142857142856,1.4084507042253522
High-Risk,280,win,15,0,0,1.4084507042253522
High-Risk,281,loss,290,28,9.655172413793103,7.6923076923076925
High-Risk,281,win,74,0,0,7.6923076923076925
High-Risk,282,loss,308,5,1.6233766233766231,1.2135922330097086
High-Risk,282,win,104,0,0,1.2135922330097086
High-Risk,283,loss,16508,122,0.7390356190937727,0.5592387137509583
High-Risk,283,win,5665,2,0.0353045013239188,0.5592387137509583
High-Risk,284,loss,3941,297,7.536158335447856,5.637533106318577
High-Risk,284,win,1345,1,0.07434944237918216,5.637533106318577
High-Risk,285,loss,7063,99,1.4016706781820756,1.1430473865275774
High-Risk,285,win,1948,4,0.20533880903490762,1.1430473865275774
High-Risk,286,loss,131,3,2.2900763358778624,1.8292682926829267
High-Risk,286,win,33,0,0,1.8292682926829267
High-Risk,287,loss,870,29,3.3333333333333335,2.846648301193756
High-Risk,287,win,219,2,0.91324200913242,2.846648301193756
High-Risk,288,loss,750,11,1.4666666666666666,1.0934393638170974
High-Risk,288,win,256,0,0,1.0934393638170974
High-Risk,289,loss,52,2,3.8461538461538463,3.1746031746031744
High-Risk,289,win,11,0,0,3.1746031746031744
High-Risk,290,loss,8,1,12.5,9.090909090909092
High-Risk,290,win,3,0,0,9.090909090909092
