group,id_player,prev_outcome,n_round,rt_mean,rt_z_mean
High-Risk,21,loss,20367,231.85172092109786,-0.04872940224414101
High-Risk,21,win,6412,265.4086088583905,0.15478348962982214
High-Risk,22,loss,43448,185.51169213772786,0.002580602576801821
High-Risk,22,win,14529,183.75813889462455,-0.00771711891781155
High-Risk,23,loss,810,231.43456790123457,-0.047195735011031824
High-Risk,23,win,250,263.316,0.15291418143574306
High-Risk,24,loss,1383,314.3174258857556,-0.025889365190255927
High-Risk,24,win,446,337.81390134529147,0.0802802512513988
High-Risk,25,loss,20,166.25,-0.276055161473217
High-Risk,25,win,7,276.2857142857143,0.7887290327806202
High-Risk,26,loss,761,509.69908015768726,-0.02900055538769761
High-Risk,26,win,194,551.5773195876288,0.11375991056720641
High-Risk,27,loss,324,194.46604938271605,-0.1348614416119009
High-Risk,27,win,97,253.1340206185567,0.45046502146655565
High-Risk,28,loss,103,510.40776699029124,-0.16128261146830233
High-Risk,28,win,34,674.8529411764706,0.4885914406245627
High-Risk,29,loss,2,467,-0.5773203052454912
High-Risk,29,win,1,807,1.1546406104909819
High-Risk,30,loss,63608,377.1161803546724,-0.04041213858291913
High-Risk,30,win,19052,420.0578416964098,0.13492207175006912
High-Risk,31,loss,344,283.41279069767444,-0.025833571111780255
High-Risk,31,win,80,310.1,0.11108435578065484
High-Risk,32,loss,48209,308.9998133128669,-0.09146165275071298
High-Risk,32,win,16497,387.9133781899739,0.2672773727016499
High-Risk,33,loss,895,273.7921787709497,-0.08609626622863455
High-Risk,33,win,307,332.6938110749186,0.2509972582235432
High-Risk,34,loss,696,291.875,-0.10069326778119443
High-Risk,34,win,190,411.16315789473686,0.3688553388195337
High-Risk,35,loss,60,932.6,-0.20107765077517628
High-Risk,35,win,21,1242.2380952380952,0.5745075736433606
High-Risk,36,loss,211,417.97156398104266,0.026607537008466044
High-Risk,36,win,53,383.20754716981133,-0.10592811903370454
High-Risk,37,loss,252,331.9087301587302,-0.12307458588766151
High-Risk,37,win,70,472.27142857142854,0.44306850919558144
High-Risk,38,loss,315,558.5460317460318,0.02733708321956467
High-Risk,38,win,84,538.7261904761905,-0.10251406207336823
High-Risk,39,loss,1541,464.7456197274497,-0.07000577661346008
High-Risk,39,win,484,619.8264462809917,0.2228902928953349
High-Risk,40,loss,15270,502.4901768172888,-0.10489081986540894
High-Risk,40,win,4319,569.7497105811531,0.3708457558103245
High-Risk,41,loss,2319,481.2535575679172,-0.032595166021466435
High-Risk,41,win,743,516.2247644683715,0.1017337685111446
High-Risk,42,loss,3,280.6666666666667,-0.4932729985310676
High-Risk,42,win,1,531,1.4798189955932028
High-Risk,43,loss,712,372.99719101123594,0.03869173380178426
High-Risk,43,win,248,340.60483870967744,-0.11108271962447727
High-Risk,44,loss,730,824.6561643835616,0.05502506503547009
High-Risk,44,win,207,724.5072463768116,-0.19404974626035318
High-Risk,45,loss,96,555.5104166666666,-0.060219549411414657
High-Risk,45,win,28,644.0714285714286,0.20646702655342183
High-Risk,46,loss,786,718.5814249363867,-0.024700011735017794
High-Risk,46,win,232,754.1637931034483,0.08368193630915485
High-Risk,47,loss,521,549.7312859884837,-0.06992488533134734
High-Risk,47,win,161,650.055900621118,0.2262786661964723
High-Risk,48,loss,312,588.0769230769231,-0.1431949377592858
High-Risk,48,win,124,702.6451612903226,0.3602969401685248
High-Risk,49,loss,263,274.3384030418251,-0.307973648441042
High-Risk,49,win,96,384.5104166666667,0.8437194743749377
High-Risk,50,loss,51519,206.14796482850986,-0.04623027696731035
High-Risk,50,win,17326,243.18325060602564,0.1374660994504708
High-Risk,51,loss,276,421.0688405797101,-0.104465124245095
High-Risk,51,win,105,560.447619047619,0.2745940408728211
High-Risk,52,loss,851,777.7414806110459,-0.016402582452812276
High-Risk,52,win,243,814.9588477366256,0.057442788754498715
High-Risk,53,loss,165,543.5454545454545,-0.06036508163269923
High-Risk,53,win,44,615.8636363636364,0.2263690561226222
High-Risk,54,loss,50,449.5,-0.3959658172182328
High-Risk,54,win,24,611.1666666666666,0.8249287858713179
High-Risk,55,loss,2902,582.3873190902825,-0.016629761351238913
High-Risk,55,win,845,614.196449704142,0.057111914131710906
High-Risk,56,loss,5008,617.7727635782747,-0.09283310008314764
High-Risk,56,win,1712,713.7821261682243,0.27155850771986134
High-Risk,57,loss,9967,309.16002809270594,-0.05313120721434341
High-Risk,57,win,3216,367.9869402985075,0.16466378803027398
High-Risk,58,loss,191,362.08376963350787,0.006593577631514699
High-Risk,58,win,56,354.51785714285717,-0.022488809421773077
High-Risk,59,loss,311,235.03536977491962,-0.08551701950682247
High-Risk,59,win,107,263.49532710280374,0.24855881370674524
High-Risk,60,loss,2747,564.5187477247907,0.03538330229916232
High-Risk,60,win,744,522.7594086021505,-0.13064238093521258
High-Risk,61,loss,13406,476.90780247650304,-0.029939549459781677
High-Risk,61,win,3945,501.93307984790874,0.10174134348741044
High-Risk,62,loss,3052,663.1916775884666,-0.045359610405984296
High-Risk,62,win,971,719.3182286302781,0.14257212251191018
High-Risk,63,loss,28667,320.5625981093243,-0.06434876597956617
High-Risk,63,win,8173,426.04233451608957,0.2257048910236413
