group,id_player,prev_outcome,n_round,rt_mean,rt_z_mean
High-Risk,HR_1020,loss,7068,523.7447651386531,3.5325850792530556e-4
High-Risk,HR_1020,win,2248,523.3385231316726,-0.001110690006234223
High-Risk,HR_1021,loss,2685,546.0700186219739,-0.04327046200376206
High-Risk,HR_1021,win,813,624.4169741697417,0.14290429333345814
High-Risk,HR_1022,loss,4531,325.21165305672037,-0.02083608404687311
High-Risk,HR_1022,win,1432,343.8533519553073,0.06592758157568593
High-Risk,HR_1023,loss,5807,620.1041846047873,-0.0255296455598446
High-Risk,HR_1023,win,1736,654.2073732718894,0.08539784087904212
High-Risk,HR_1024,loss,608,536.1348684210526,-0.03909188560533245
High-Risk,HR_1024,win,194,566.319587628866,0.12251477550537238
High-Risk,HR_1025,loss,53,628.2641509433962,-0.008082735766464287
High-Risk,HR_1025,win,18,638,0.023799166423478887
High-Risk,HR_1026,loss,1936,795.5893595041322,-0.1294908165737338
High-Risk,HR_1026,win,629,930.6565977742448,0.3985599696132729
High-Risk,HR_1027,loss,984,692.140243902439,-0.052918416843373374
High-Risk,HR_1027,win,308,757.8344155844156,0.16906403303207648
High-Risk,HR_1028,loss,60,468.1666666666667,1.4297693381757547e-4
High-Risk,HR_1028,win,12,468.0833333333333,-7.14884669087488e-4
High-Risk,HR_1029,loss,86,240.13953488372093,-0.130616613875854
High-Risk,HR_1029,win,23,342.2173913043478,0.48839255623145367
High-Risk,HR_103,loss,9823,399.03400183243406,-0.06829872160349547
High-Risk,HR_103,win,3166,463.9428300694883,0.21190724646593032
High-Risk,HR_1030,loss,209,916.9282296650717,-0.1503649724350608
High-Risk,HR_1030,win,59,1108.8305084745762,0.5326488006597925
High-Risk,HR_1031,loss,66,273.56060606060606,0.13736273552210004
High-Risk,HR_1031,win,19,221.26315789473685,-0.47715476549782143
High-Risk,HR_1032,loss,1181,635.0270956816257,-0.044844694274199945
High-Risk,HR_1032,win,382,703.8089005235602,0.1386428898896075
High-Risk,HR_1033,loss,52,394.21153846153845,0.012428087807583166
High-Risk,HR_1033,win,16,389.5,-0.040391285374646264
High-Risk,HR_1034,loss,959,370.689259645464,0.02360832359769306
High-Risk,HR_1034,win,238,319.5882352941176,-0.09512765684952772
High-Risk,HR_1035,loss,2748,440.67503639010187,-0.030780765826606257
High-Risk,HR_1035,win,889,505.0978627671541,0.09514684419742864
High-Risk,HR_1036,loss,367,345.2098092643052,-0.09006165886297185
High-Risk,HR_1036,win,150,423.9266666666667,0.22035085868473775
High-Risk,HR_1037,loss,911,270.1833150384193,-0.10685088925877662
High-Risk,HR_1037,win,284,352.6830985915493,0.3427505637843148
High-Risk,HR_1038,loss,635,347.33543307086615,0.02970437850625512
High-Risk,HR_1038,win,176,298.0681818181818,-0.1071720474515453
High-Risk,HR_1039,loss,128,350.8203125,-0.09701342907250242
High-Risk,HR_1039,win,30,568.5666666666667,0.41392396404267723
High-Risk,HR_104,loss,13,616,-0.01282038623556727
High-Risk,HR_104,win,5,623,0.03333300421247458
High-Risk,HR_1040,loss,93,369.4516129032258,-0.06531327482330575
High-Risk,HR_1040,win,30,388.3666666666667,0.202471151952248
High-Risk,HR_1041,loss,165,894.4787878787879,-0.255529885149528
High-Risk,HR_1041,win,60,1269.7,0.7027071841612016
High-Risk,HR_1042,loss,10202,569.0572436777103,-0.024741408603075596
High-Risk,HR_1042,win,3275,607.9111450381679,0.07707232078429886
High-Risk,HR_1043,loss,55,1138.4727272727273,0.06462486036283453
