group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,HR_1204,loss,629,1,0.1589825119236884,-0.0047694753577106515,-0.003179650238473768,-3,-2
High-Risk,HR_1204,win,188,1,0.5319148936170213,0.015957446808510637,0.010638297872340425,3,2
High-Risk,HR_1205,loss,22372,648,2.896477740032183,-0.03569193634900769,-0.008582156266762024,-1.2322530864197532,-0.2962962962962963
High-Risk,HR_1205,win,7257,102,1.4055394791236049,0.0546369023012264,0.012677414909742318,3.8872549019607843,0.9019607843137255
High-Risk,HR_1206,loss,844,12,1.4218009478672986,0.006812796208530806,0.008293838862559242,0.4791666666666667,0.5833333333333334
High-Risk,HR_1206,win,284,0,0,0,0,NA,NA
High-Risk,HR_1207,loss,162,2,1.2345679012345678,0.006172839506172839,0.012345679012345678,0.5,1
High-Risk,HR_1207,win,49,0,0,0,0,NA,NA
High-Risk,HR_1208,loss,146,6,4.10958904109589,-0.02226027397260274,-0.04794520547945205,-0.5416666666666666,-1.1666666666666667
High-Risk,HR_1208,win,52,1,1.9230769230769231,0.019230769230769232,0.038461538461538464,1,2
High-Risk,HR_1209,loss,19,1,5.263157894736842,-0.02631578947368421,-0.05263157894736842,-0.5,-1
High-Risk,HR_1209,win,5,0,0,0,0,NA,NA
High-Risk,HR_121,loss,535,23,4.299065420560748,0.029906542056074768,0,0.6956521739130435,0
High-Risk,HR_121,win,127,0,0,0,0,NA,NA
High-Risk,HR_1210,loss,3394,0,0,0,0,NA,NA
High-Risk,HR_1210,win,1159,0,0,0,0,NA,NA
High-Risk,HR_1211,loss,116,8,6.896551724137931,0.010775862068965518,0.034482758620689655,0.15625,0.5
High-Risk,HR_1211,win,34,0,0,0,0,NA,NA
High-Risk,HR_1212,loss,50,0,0,0,0,NA,NA
High-Risk,HR_1212,win,15,0,0,0,0,NA,NA
High-Risk,HR_1213,loss,53,2,3.7735849056603774,0.009433962264150943,0.03773584905660377,0.25,1
High-Risk,HR_1213,win,16,0,0,0,0,NA,NA
