group,id_player,age,gender,income,risk_0,risk_3,risk_4,risk_5,n_session,n_round_total,n_round_mean,n_round_median,bet_max,bet_min,bet_mean,bet_median,win_prob,win_max,win_min,win_mean,win_median,loss_max,loss_min,loss_mean,loss_median,total_spent
Low-Risk,LR_761,64,Male,16715.497825958526,1,0,0,0,53,940,17.735849056603772,12,2,0.25,1.2478723404255319,1,23.29787234042553,99,0.5,4.5091324200913245,2,2,0.25,1.2441054091539527,1,-90.5
Low-Risk,LR_762,29,Male,13444.220983470092,1,0,0,0,2,62,31,31,1,0.5,0.8064516129032258,1,19.35483870967742,3,0.5,1.5416666666666667,1.5,1,0.5,0.81,1,22
Low-Risk,LR_763,63,Female,18268.240822996984,1,0,0,0,1,29,29,29,2,1.5,1.706896551724138,1.5,24.137931034482758,7.5,1.5,3.5,3,2,1.5,1.75,1.75,14
Low-Risk,LR_764,33,Male,NA,1,0,0,0,2,232,116,116,2,0.5,1.4267241379310345,2,24.568965517241377,19.5,0.5,3.307017543859649,2,2,0.5,1.42,2,60
Low-Risk,LR_765,29,Male,15199.427560421153,1,0,0,0,3,228,76,58,1,0.25,0.8399122807017544,1,20.614035087719298,39,0.5,2.3882978723404253,1,1,0.25,0.8411602209944752,1,40
Low-Risk,LR_766,24,Female,13444.220983470092,1,0,0,0,22,584,26.545454545454547,16,10,0.25,1.0017123287671232,1,21.404109589041095,99,0.25,3.218,1,10,0.25,1.0163398692810457,1,64.25
Low-Risk,LR_767,26,Female,12680.329824561404,1,0,0,0,2,36,18,18,2.5,0.25,0.6180555555555556,0.5,8.333333333333332,0.5,0.25,0.4166666666666667,0.5,2.5,0.25,0.6363636363636364,0.5,19.75
Low-Risk,LR_768,37,Male,19682.892695025235,1,0,0,0,12,1141,95.08333333333333,83.5,5,0.5,1.366783523225241,1,24.364592462751972,99,0.5,4.124100719424461,2,5,0.5,1.3516801853997682,1,20
Low-Risk,LR_769,34,Male,16166.09703144839,1,0,0,0,3,117,39,35,1,0.5,0.8247863247863247,1,23.076923076923077,4,0.5,1.6296296296296295,1,1,0.5,0.8222222222222222,1,30
Low-Risk,LR_77,37,Male,14872.74077677282,1,0,0,0,1,39,39,39,2,0.25,0.8717948717948718,1,15.384615384615385,2,0.25,0.9166666666666666,0.75,2,0.25,0.9242424242424242,1,25
Low-Risk,LR_770,49,Male,14058.268518749028,1,0,0,0,7,871,124.42857142857143,134,1,1,1,1,21.469575200918484,59,1,2.053475935828877,1,1,1,1,1,300
Low-Risk,LR_771,35,Male,20922.991818033945,1,0,0,0,2,60,30,30,0.25,0.25,0.25,0.25,16.666666666666664,1.25,0.25,0.45,0.25,0.25,0.25,0.25,0.25,8
Low-Risk,LR_772,51,Female,NA,1,0,0,0,36,2078,57.72222222222222,44.5,1,0.25,0.4867661212704524,0.5,21.65543792107796,49.5,0.25,1.41,1,1,0.25,0.4792690417690418,0.5,145.75
Low-Risk,LR_773,74,Male,18430.854112259425,1,0,0,0,2,78,39,39,0.5,0.5,0.5,0.5,21.794871794871796,2.5,0.5,1,1,0.5,0.5,0.5,0.5,13.5
Low-Risk,LR_774,23,Male,13444.220983470092,1,0,0,0,1,40,40,40,0.25,0.25,0.25,0.25,17.5,0.75,0.25,0.5,0.5,0.25,0.25,0.25,0.25,4.75
Low-Risk,LR_775,33,Male,13444.220983470092,1,0,0,0,2,361,180.5,180.5,0.25,0.25,0.25,0.25,19.94459833795014,14.75,0.25,0.8090277777777778,0.5,0.25,0.25,0.25,0.25,14
