group,id_player,round_pos,total_count,win_count,win_prob
High-Risk,548,end,1,1,100
High-Risk,549,overall,4753,1122,23.606143488323163
High-Risk,549,end,164,2,1.2195121951219512
High-Risk,550,overall,18,4,22.22222222222222
High-Risk,550,end,1,0,0
High-Risk,551,overall,505,109,21.584158415841586
High-Risk,551,end,5,0,0
High-Risk,552,overall,81992,20446,24.936579178456437
High-Risk,552,end,744,3,0.4032258064516129
High-Risk,553,overall,12133,2823,23.267122723151733
High-Risk,553,end,149,0,0
High-Risk,554,overall,65,14,21.53846153846154
High-Risk,554,end,2,0,0
High-Risk,555,overall,3042,772,25.378040762656145
High-Risk,555,end,19,0,0
High-Risk,556,overall,182,40,21.978021978021978
High-Risk,556,end,1,0,0
High-Risk,557,overall,264,48,18.181818181818183
High-Risk,557,end,8,0,0
High-Risk,558,overall,42,7,16.666666666666664
High-Risk,558,end,1,0,0
High-Risk,559,overall,4214,1043,24.750830564784053
High-Risk,559,end,53,0,0
High-Risk,560,overall,3911,997,25.492201482996673
High-Risk,560,end,166,0,0
High-Risk,561,overall,4785,1121,23.42737722048067
High-Risk,561,end,92,0,0
High-Risk,562,overall,289,72,24.91349480968858
High-Risk,562,end,1,0,0
High-Risk,563,overall,1901,430,22.619673855865337
High-Risk,563,end,29,2,6.896551724137931
High-Risk,564,overall,738,149,20.18970189701897
High-Risk,564,end,17,0,0
High-Risk,565,overall,117,25,21.367521367521366
High-Risk,565,end,3,0,0
High-Risk,566,overall,1122,279,24.86631016042781
High-Risk,566,end,15,0,0
High-Risk,567,overall,10,4,40
High-Risk,567,end,1,0,0
High-Risk,568,overall,328,67,20.426829268292682
High-Risk,568,end,3,0,0
High-Risk,569,overall,2055,472,22.9683698296837
High-Risk,569,end,11,0,0
High-Risk,570,overall,795,197,24.77987421383648
High-Risk,570,end,13,0,0
High-Risk,571,overall,163,33,20.245398773006134
High-Risk,571,end,4,0,0
High-Risk,572,overall,477,103,21.59329140461216
High-Risk,572,end,12,0,0
High-Risk,573,overall,52,10,19.230769230769234
High-Risk,573,end,1,0,0
High-Risk,574,overall,740,173,23.37837837837838
High-Risk,574,end,5,0,0
High-Risk,575,overall,115,25,21.73913043478261
High-Risk,575,end,6,0,0
High-Risk,576,overall,10636,2279,21.427228281308764
High-Risk,576,end,71,13,18.30985915492958
High-Risk,577,overall,350,95,27.142857142857142
High-Risk,577,end,3,0,0
High-Risk,578,overall,15,1,6.666666666666667
High-Risk,578,end,8,0,0
High-Risk,579,overall,356,77,21.629213483146067
High-Risk,579,end,4,0,0
