group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,189,win,50,0,0,0,0,NA,NA
High-Risk,190,loss,3054,79,2.5867714472822527,-0.034053700065487885,-0.016044531761624098,-1.3164556962025316,-0.620253164556962
High-Risk,190,win,987,6,0.60790273556231,0.04913880445795339,0.0121580547112462,8.083333333333334,2
High-Risk,191,loss,1291,17,1.3168086754453912,0.0011618900077459333,0.0023237800154918666,0.08823529411764706,0.17647058823529413
High-Risk,191,win,377,0,0,0,0,NA,NA
High-Risk,192,loss,1537,15,0.9759271307742355,-1.6265452179570593e-4,-6.506180871828237e-4,-0.016666666666666666,-0.06666666666666667
High-Risk,192,win,440,0,0,0,0,NA,NA
High-Risk,193,loss,4770,25,0.5241090146750524,0.0027253668763102725,0.0029350104821802936,0.52,0.56
High-Risk,193,win,1580,2,0.12658227848101267,0,0,0,0
High-Risk,194,loss,342,15,4.385964912280701,-0.0021929824561403508,-0.005847953216374269,-0.05,-0.13333333333333333
High-Risk,194,win,91,1,1.098901098901099,0.005494505494505495,0.01098901098901099,0.5,1
High-Risk,195,loss,897,2,0.2229654403567447,0.0013935340022296545,0.0033444816053511705,0.625,1.5
High-Risk,195,win,286,0,0,0,0,NA,NA
High-Risk,196,loss,760,37,4.868421052631579,0.010855263157894738,-0.005263157894736842,0.22297297297297297,-0.10810810810810811
High-Risk,196,win,229,1,0.43668122270742354,0.004366812227074236,0.008733624454148471,1,2
High-Risk,197,loss,424,1,0.2358490566037736,0.03537735849056604,0.007075471698113208,15,3
High-Risk,197,win,144,0,0,0,0,NA,NA
High-Risk,198,loss,12021,124,1.031528159054987,0.0080692122119624,0.005823142833374927,0.782258064516129,0.5645161290322581
High-Risk,198,win,3783,9,0.23790642347343377,0.0013217023526301878,0.0031720856463124504,0.5555555555555556,1.3333333333333333
High-Risk,199,loss,102,1,0.9803921568627451,-0.0024509803921568627,-0.00980392156862745,-0.25,-1
High-Risk,199,win,29,0,0,0,0,NA,NA
High-Risk,200,loss,23,0,0,0,0,NA,NA
High-Risk,200,win,4,0,0,0,0,NA,NA
High-Risk,201,loss,87,3,3.4482758620689653,-0.017241379310344827,-0.034482758620689655,-0.5,-1
High-Risk,201,win,22,0,0,0,0,NA,NA
High-Risk,202,loss,314,1,0.3184713375796179,7.961783439490446e-4,0.0031847133757961785,0.25,1
High-Risk,202,win,107,0,0,0,0,NA,NA
High-Risk,203,loss,6999,54,0.7715387912558938,-8.215459351335905e-4,-0.0031433061865980853,-0.10648148148148148,-0.4074074074074074
High-Risk,203,win,2206,10,0.45330915684496825,9.066183136899365e-4,0.003626473254759746,0.2,0.8
High-Risk,204,loss,100,0,0,0,0,NA,NA
High-Risk,204,win,33,0,0,0,0,NA,NA
High-Risk,205,loss,2640,35,1.3257575757575757,-0.0055871212121212125,-0.010227272727272727,-0.42142857142857143,-0.7714285714285715
